,level_0,index,Player,Team,FP,POS,Price,Avg_Price,Drafted
0,0,2,Le'Veon Bell,PIT,350.05,RB,70.72439249,71,1
1,1,1,Todd Gurley,LAR,344.42,RB,69.8846496,68.5,1
2,4,1,Antonio Brown,PIT,312.89,WR,65.84796296,61.3,1
3,3,3,David Johnson,ARI,324.22,RB,65.23829666,63.7,1
4,40,1,Rob Gronkowski,NE,236.81,TE,61.18634117,38.1,0
5,12,2,DeAndre Hopkins,HOU,281.99,WR,53.82849683,57,1
6,13,3,Julio Jones,ATL,280.76,WR,53.26259528,52,1
7,8,6,Alvin Kamara,NO,290.2,RB,52.9704315,60.7,1
8,52,2,Travis Kelce,KC,221.97,TE,52.63846951,31.6,1
9,2,1,Aaron Rodgers,GB,324.558,QB,52.50873443,29,1
10,10,4,Ezekiel Elliott,DAL,289.02,RB,52.47263528,65.2,1
11,15,4,Odell Beckham Jr.,NYG,274.59,WR,50.3512782,61,1
12,19,6,Michael Thomas,NO,269.25,WR,47.74658638,51,1
13,21,5,Keenan Allen,LAC,268.38,WR,47.31584146,43.4,1
14,14,5,Melvin Gordon,LAC,274.86,RB,46.25044075,53.2,1
15,24,8,Kareem Hunt,KC,264.67,RB,41.56514421,55.7,1
16,25,9,Saquon Barkley,NYG,264.02,RB,41.26250828,56.1,1
17,66,3,Zach Ertz,PHI,199.85,TE,37.756834,23.2,1
18,31,12,Christian McCaffrey,CAR,252.79,RB,35.99802737,32.1,1
19,37,7,A.J. Green,CIN,246.09,WR,35.90897925,39.3,1
20,38,8,Davante Adams,GB,245.4,WR,35.55063033,42.1,1
21,32,7,Leonard Fournette,JAC,251.81,RB,35.53725573,48,1
22,35,10,Dalvin Cook,MIN,248.84,RB,34.14165047,46.6,1
23,39,9,Mike Evans,TB,238.29,WR,31.86687362,33.8,1
24,41,11,Devonta Freeman,ATL,234.71,RB,27.57144028,37.2,1
25,46,20,Larry Fitzgerald,ARI,228.59,WR,26.91346928,18.8,1
26,5,2,Tom Brady,NE,304.874,QB,26.71133373,15.4,1
27,48,11,Doug Baldwin,SEA,226.83,WR,26.02973488,25.5,1
28,50,10,Tyreek Hill,KC,225.8,WR,25.51527408,27.1,1
29,6,3,Russell Wilson,SEA,303.466,QB,24.89083239,15,1
30,53,15,Adam Thielen,MIN,221.57,WR,23.42612402,27.7,1
31,51,15,Jerick McKinnon,SF,224.27,RB,22.87601176,29.6,1
32,54,22,Golden Tate,DET,219.8,WR,22.56443598,11.9,1
33,85,4,Evan Engram,NYG,177.54,TE,22.4801198,8.5,1
34,55,13,Amari Cooper,OAK,218.73,WR,22.04745324,17.3,1
35,56,18,Demaryius Thomas,DEN,217.14,WR,21.28499362,14.9,0
36,57,12,T.Y. Hilton,IND,216.63,WR,21.04194668,19.4,1
37,58,14,Stefon Diggs,MIN,216.29,WR,20.88033581,21.5,1
38,94,6,Delanie Walker,TEN,171.76,TE,18.80152429,3.8,1
39,59,14,LeSean McCoy,BUF,213.93,RB,18.44923238,25.5,1
40,95,5,Greg Olsen,CAR,170.25,TE,17.87235053,7.2,1
41,62,25,Jarvis Landry,CLE,208.7,WR,17.36843179,8,0
42,97,7,Jimmy Graham,GB,166.54,TE,15.65387685,9.9,1
43,63,16,JuJu Smith-Schuster,PIT,201.82,WR,14.36750831,13.4,1
44,64,13,Jordan Howard,CHI,201.49,RB,13.5319702,29.9,1
45,65,17,Joe Mixon,CIN,199.93,RB,12.95323742,21.2,1
46,68,19,Josh Gordon,CLE,197.35,WR,12.52639062,18.1,1
47,69,23,Allen Robinson,CHI,196.61,WR,12.23060843,9.8,1
48,7,4,Deshaun Watson,HOU,291.886,QB,11.42931921,13.6,0
49,70,17,Marvin Jones,DET,194.57,WR,11.42913288,5.4,0
50,71,27,Michael Crabtree,BAL,194.37,WR,11.35167849,3.2,0
51,111,9,Jack Doyle,IND,156.91,TE,10.39861472,1.2,1
52,73,21,Brandin Cooks,LAR,191.19,WR,10.14801121,8,1
53,72,19,Kenyan Drake,MIA,191.69,RB,10.05814546,18.5,1
54,115,8,Kyle Rudolph,MIN,155.93,TE,9.910439992,4.1,1
55,74,16,Alex Collins,BAL,190.65,RB,9.713345941,11.2,1
56,9,5,Drew Brees,NO,289.084,QB,8.756342359,8.1,1
57,11,6,Cam Newton,CAR,288.992,QB,8.673525608,8.6,1
58,120,10,Jordan Reed,WAS,150.3,TE,7.296759786,2.3,1
59,76,26,Chris Hogan,NE,180.77,WR,6.692978969,3.6,1
60,77,21,Lamar Miller,HOU,180.54,RB,6.628480406,7,0
61,78,34,Pierre Garcon,SF,180.31,WR,6.564259558,1.8,0
62,79,30,Robert Woods,LAR,179.9,WR,6.450470444,4.6,0
63,80,24,Marquise Goodwin,SF,179.66,WR,6.384274961,2.5,1
64,81,37,Randall Cobb,GB,179.63,WR,6.376022025,1.7,0
65,82,18,Derrick Henry,TEN,179.05,RB,6.217407949,17.1,1
66,83,35,Corey Davis,TEN,178.32,WR,6.02033649,4,0
67,84,32,Cooper Kupp,LAR,177.76,WR,5.871111176,1.6,0
68,86,22,Royce Freeman,DEN,177.02,RB,5.676544622,5.5,0
69,87,38,Jamison Crowder,WAS,176.98,WR,5.666113119,1.9,1
70,88,31,Robby Anderson,NYJ,176.97,WR,5.66350662,1.8,0
71,89,29,Devin Funchess,CAR,176.36,WR,5.505554526,2.9,0
72,90,36,Emmanuel Sanders,DEN,176.1,WR,5.438857701,1.9,0
73,91,28,Alshon Jeffery,PHI,175.86,WR,5.377625644,17.6,1
74,92,20,Jay Ajayi,PHI,174.95,RB,5.148386774,11.6,1
75,93,33,Sammy Watkins,KC,173.77,WR,4.858112502,2.7,1
76,96,23,Rex Burkhead,NE,166.85,RB,3.320572824,5.6,1
77,133,11,Trey Burton,CHI,138.99,TE,3.164704187,2.5,1
78,98,29,Dion Lewis,TEN,164.96,RB,2.951584581,5.3,1
79,99,36,Duke Johnson,CLE,164.58,RB,2.8801314,1.5,0
80,100,42,Sterling Shepard,NYG,164.23,WR,2.815137417,1.3,0
81,101,45,Jordy Nelson,OAK,163.91,WR,2.756403608,1.8,0
82,102,39,Kenny Stills,MIA,163.68,WR,2.714596735,1.1,0
83,103,35,Chris Thompson,WAS,163.59,RB,2.698330646,2.2,0
84,104,24,Tevin Coleman,ATL,163.49,RB,2.680318745,3.9,0
85,105,25,Mark Ingram,NO,163.29,RB,2.644489535,20.5,0
86,106,44,Julian Edelman,NE,162.91,WR,2.577130645,4.3,0
87,107,40,Nelson Agholor,PHI,162.41,WR,2.489936874,1.8,0
88,109,43,Marqise Lee,JAC,159.76,WR,2.055415188,1.2,0
89,110,27,Marlon Mack,IND,159.19,RB,1.968104098,3.1,0
90,112,47,Devante Parker,MIA,156.69,WR,1.611416126,1.4,0
91,113,51,Mohamed Sanu,ATL,156.18,WR,1.543969505,1.5,0
92,114,28,Carlos Hyde,CLE,155.95,RB,1.514148642,1.9,0
93,117,41,Will Fuller,HOU,152.56,WR,1.118216796,2.4,0
94,118,30,Isaiah Crowell,NYJ,151.32,RB,0.994127288,2.5,1
95,119,31,Kerryon Johnson,DET,150.48,RB,0.916492202,2.3,0
96,121,26,Marshawn Lynch,OAK,149.83,RB,0.860011112,4.1,0
97,122,48,Kelvin Benjamin,BUF,149.82,WR,0.859166781,1.5,0
98,144,12,George Kittle,SF,127.74,TE,0.819757067,1.4,0
99,145,14,David Njoku,CLE,126.41,TE,0.67473792,1.5,0
100,123,44,Tarik Cohen,CHI,146.8,RB,0.638704617,2.1,0
101,124,38,James White,NE,145.89,RB,0.58593753,1.5,0
102,125,53,Allen Hurns,DAL,144.62,WR,0.523046914,1.2,0
103,126,46,Kenny Golladay,DET,144.46,WR,0.51601865,1.3,0
104,146,18,Charles Clay,BUF,124.34,TE,0.508728766,1,0
105,147,15,Jared Cook,OAK,124.12,TE,0.49543085,1,0
106,127,52,DeSean Jackson,TB,143.35,WR,0.472817377,1.3,0
107,148,13,Cameron Brate,TB,123.54,TE,0.464427746,1,0
108,150,16,Eric Ebron,IND,122.63,TE,0.42772644,1,0
109,128,33,Chris Carson,SEA,141.5,RB,0.422608829,2.5,0
110,129,49,Tyrell Williams,LAC,141.35,WR,0.419743072,1,0
111,130,50,Ted Ginn,NO,141.31,WR,0.419009589,1.2,0
112,131,32,Jamaal Williams,GB,141.18,RB,0.416715183,2.2,0
113,132,58,Danny Amendola,MIA,140.46,WR,0.406490315,1.1,0
114,134,54,Josh Doctson,WAS,135.81,WR,0.406490315,1.2,0
115,135,40,Giovani Bernard,CIN,135.2,RB,0.406490315,1.1,0
116,16,7,Carson Wentz,PHI,270.496,QB,0.406490315,5.8,0
117,136,34,Ronald Jones II,TB,134.2,RB,0.406490315,5.6,0
118,159,17,Tyler Eifert,CIN,117.2,TE,0.406490315,1.3,0
119,137,55,Rishard Matthews,TEN,133.6,WR,0.406490315,1.3,0
120,138,56,Tyler Lockett,SEA,133.55,WR,0.406490315,1.2,0
121,17,8,Matthew Stafford,DET,270.134,QB,0.406490315,2.6,0
122,139,57,Cameron Meredith,NO,132.93,WR,0.406490315,1.2,0
123,18,9,Ben Roethlisberger,PIT,269.734,QB,0.406490315,2.1,0
124,20,10,Andrew Luck,IND,269.204,QB,0.406490315,2.7,0
125,140,51,Theo Riddick,DET,130.74,RB,0.406490315,1.4,0
126,141,37,Devontae Booker,DEN,130.4,RB,0.406490315,1.6,0
127,142,46,Ty Montgomery,GB,130.35,RB,0.406490315,1.5,0
128,165,22,Benjamin Watson,NO,114.44,TE,0.406490315,1.2,0
129,143,59,John Ross,CIN,128.57,WR,0.406490315,1,0
130,166,20,Vance McDonald,PIT,113.57,TE,0.406490315,1.2,0
131,22,11,Kirk Cousins,MIN,268.292,QB,0.406490315,4,0
132,169,24,Austin Seferian-Jenkins,JAC,111.68,TE,0.406490315,1,0
133,170,23,Austin Hooper,ATL,111.47,TE,0.406490315,1,0
134,149,60,D.J. Moore,CAR,122.72,WR,0.406490315,1.4,0
135,172,19,Ricky Seals-Jones,ARI,109.82,TE,0.406490315,1,0
136,151,65,Calvin Ridley,ATL,121.94,WR,0.406490315,1.3,0
137,174,21,O.J. Howard,TB,108.81,TE,0.406490315,1.2,0
138,23,12,Alex Smith,WAS,265.74,QB,0.406490315,1.2,0
139,152,64,Quincy Enunwa,NYJ,120.12,WR,0.406490315,1,0
140,153,45,Bilal Powell,NYJ,119.75,RB,0.406490315,1.3,0
141,154,62,Martavis Bryant,OAK,119.53,WR,0.406490315,1.4,0
142,155,68,Chris Godwin,TB,118.26,WR,0.406490315,1.3,0
143,156,69,Jermaine Kearse,NYJ,117.81,WR,0.406490315,1,0
144,157,66,John Brown,BAL,117.71,WR,0.406490315,1,0
145,158,67,Paul Richardson,WAS,117.37,WR,0.406490315,1.2,0
146,160,41,Sony Michel,NE,116.97,RB,0.406490315,4.3,0
147,161,39,Peyton Barber,TB,116.17,RB,0.406490315,1.5,0
148,162,61,Keelan Cole,JAC,116.03,WR,0.406490315,1,0
149,163,43,Rashaad Penny,SEA,115.81,RB,0.406490315,7.5,0
150,164,63,Mike Wallace,PHI,115.26,WR,0.406490315,1,0
151,167,70,Ryan Grant,IND,112.93,WR,0.406490315,1,0
152,168,53,Javorius Allen,BAL,112.24,RB,0.406490315,1,0
153,171,72,Terrance Williams,DAL,111.17,WR,0.406490315,1,0
154,173,73,Anthony Miller,CHI,109.82,WR,0.406490315,1.6,0
155,175,74,Courtland Sutton,DEN,107.93,WR,0.406490315,1.1,0
