Player,Price
No new player Notes,73.20
Christian McCaffrey Car - RB,
Sun 10:00 am vs NYJ,
No new player Notes,65.80
Dalvin Cook Min - RB,
Sun 10:00 am @Cin,
No new player Notes,66.50
Derrick Henry Ten - RB,
Sun 10:00 am vs Ari,
No new player Notes,62.40
Alvin Kamara NO - RB,
Sun 1:25 pm vs GB,
No new player Notes,59.50
Ezekiel Elliott Dal - RB,
Thu 5:20 pm @TB,
No new player Notes,57.30
Nick Chubb Cle - RB,
Sun 1:25 pm @KC,
Player Note,57.40
Saquon Barkley NYG - RB,
Q,
Sun 1:25 pm vs Den,
No new player Notes,55.60
Tyreek Hill KC - WR,
Sun 1:25 pm vs Cle,
No new player Notes,54.90
Aaron Jones GB - RB,
Sun 1:25 pm @NO,
No new player Notes,54.40
Jonathan Taylor Ind - RB,
Sun 10:00 am vs Sea,
No new player Notes,51.70
Travis Kelce KC - TE,
Sun 1:25 pm vs Cle,
No new player Notes,53.30
Davante Adams GB - WR,
Sun 1:25 pm @NO,
Player Note,51.70
Stefon Diggs Buf - WR,
Q,
Sun 10:00 am vs Pit,
No new player Notes,35.50
Patrick Mahomes KC - QB,
Sun 1:25 pm vs Cle,
No new player Notes,46.60
Austin Ekeler LAC - RB,
Sun 10:00 am @Was,
Player Note,41.50
Najee Harris Pit - RB,
Sun 10:00 am @Buf,
Player Note,43.40
Antonio Gibson Was - RB,
Sun 10:00 am vs LAC,
No new player Notes,38.60
Calvin Ridley Atl - WR,
Sun 10:00 am vs Phi,
No new player Notes,42.40
DeAndre Hopkins Ari - WR,
Q,
Sun 10:00 am @Ten,
Player Note,36.80
Justin Jefferson Min - WR,
Q,
Sun 10:00 am @Cin,
No new player Notes,36.90
DK Metcalf Sea - WR,
Sun 10:00 am @Ind,
No new player Notes,38.20
Joe Mixon Cin - RB,
Sun 10:00 am vs Min,
Player Note,36.10
A.J. Brown Ten - WR,
Q,
Sun 10:00 am vs Ari,
Player Note,34.90
Clyde Edwards-Helaire KC - RB,
Q,
Sun 1:25 pm vs Cle,
No new player Notes,40.90
Cam Akers LAR - RB,
NFI-A,
Sun 5:20 pm vs Chi,
No new player Notes,30.70
J.K. Dobbins Bal - RB,
Mon 5:15 pm @LV,
Player Note,27.00
Darren Waller LV - TE,
Mon 5:15 pm vs Bal,
No new player Notes,27.00
Terry McLaurin Was - WR,
Sun 10:00 am vs LAC,
No new player Notes,27.70
George Kittle SF - TE,
Sun 10:00 am @Det,
No new player Notes,20.80
Josh Allen Buf - QB,
Sun 10:00 am vs Pit,
No new player Notes,26.30
Allen Robinson II Chi - WR,
Sun 5:20 pm @LAR,
No new player Notes,26.00
Keenan Allen LAC - WR,
Sun 10:00 am @Was,
No new player Notes,25.00
David Montgomery Chi - RB,
Sun 5:20 pm @LAR,
No new player Notes,24.10
Chris Carson Sea - RB,
Sun 10:00 am @Ind,
Player Note,20.50
CeeDee Lamb Dal - WR,
COVID-19,
Thu 5:20 pm @TB,
No new player Notes,18.40
Chris Godwin TB - WR,
Thu 5:20 pm vs Dal,
No new player Notes,19.70
Mike Evans TB - WR,
Thu 5:20 pm vs Dal,
No new player Notes,15.80
Josh Jacobs LV - RB,
Mon 5:15 pm vs Bal,
No new player Notes,22.30
Miles Sanders Phi - RB,
Sun 10:00 am @Atl,
Player Note,21.00
D'Andre Swift Det - RB,
Q,
Sun 10:00 am vs SF,
No new player Notes,13.70
Lamar Jackson Bal - QB,
Mon 5:15 pm @LV,
Player Note,18.30
Darrell Henderson Jr. LAR - RB,
Q,
Sun 5:20 pm vs Chi,
No new player Notes,12.80
Robert Woods LAR - WR,
Sun 5:20 pm vs Chi,
Player Note,14.00
Amari Cooper Dal - WR,
Thu 5:20 pm @TB,
No new player Notes,11.90
Kyler Murray Ari - QB,
Sun 10:00 am @Ten,
No new player Notes,11.40
Cooper Kupp LAR - WR,
Sun 5:20 pm vs Chi,
Player Note,13.10
Julio Jones Ten - WR,
Q,
Sun 10:00 am vs Ari,
No new player Notes,10.30
T.J. Hockenson Det - TE,
Q,
Sun 10:00 am vs SF,
Player Note,10.80
Kyle Pitts Atl - TE,
Sun 10:00 am vs Phi,
No new player Notes,9.40
Mark Andrews Bal - TE,
Q,
Mon 5:15 pm @LV,
Name,Avg Salary
No new player Notes,9.00
Adam Thielen Min - WR,
Q,
Sun 10:00 am @Cin,
No new player Notes,8.50
Tyler Lockett Sea - WR,
Q,
Sun 10:00 am @Ind,
New Player Note,8.70
Dak Prescott Dal - QB,
Q,
Thu 5:20 pm @TB,
No new player Notes,9.50
DJ Moore Car - WR,
Q,
Sun 10:00 am vs NYJ,
No new player Notes,7.00
Russell Wilson Sea - QB,
Sun 10:00 am @Ind,
Player Note,9.70
Myles Gaskin Mia - RB,
Sun 1:25 pm @NE,
No new player Notes,8.50
Kareem Hunt Cle - RB,
Sun 1:25 pm @KC,
Player Note,7.90
Travis Etienne Jax - RB,
IR,
Sun 10:00 am @Hou,
No new player Notes,5.70
Justin Herbert LAC - QB,
Sun 10:00 am @Was,
No new player Notes,5.70
Aaron Rodgers GB - QB,
Sun 1:25 pm @NO,
No new player Notes,5.90
Diontae Johnson Pit - WR,
Sun 10:00 am @Buf,
No new player Notes,6.30
Brandon Aiyuk SF - WR,
Sun 10:00 am @Det,
No new player Notes,4.00
Tom Brady TB - QB,
Thu 5:20 pm vs Dal,
No new player Notes,7.50
Mike Davis Atl - RB,
Sun 10:00 am vs Phi,
No new player Notes,2.80
Tyler Higbee LAR - TE,
Sun 5:20 pm vs Chi,
No new player Notes,6.70
Chase Edmonds Ari - RB,
Sun 10:00 am @Ten,
No new player Notes,4.90
Odell Beckham Jr. Cle - WR,
Q,
Sun 1:25 pm @KC,
No new player Notes,4.10
Ronald Jones II TB - RB,
Thu 5:20 pm vs Dal,
Player Note,3.10
Jalen Hurts Phi - QB,
Sun 10:00 am @Atl,
No new player Notes,4.70
James Robinson Jax - RB,
Sun 10:00 am @Hou,
No new player Notes,3.80
Tee Higgins Cin - WR,
Sun 10:00 am vs Min,
Player Note,3.50
Chase Claypool Pit - WR,
Q,
Sun 10:00 am @Buf,
No new player Notes,4.80
Kenny Golladay NYG - WR,
Q,
Sun 1:25 pm vs Den,
No new player Notes,4.80
Damien Harris NE - RB,
Sun 1:25 pm vs Mia,
Player Note,3.60
Ja'Marr Chase Cin - WR,
Sun 10:00 am vs Min,
No new player Notes,3.10
Dallas Goedert Phi - TE,
Sun 10:00 am @Atl,
No new player Notes,4.20
Raheem Mostert SF - RB,
Sun 10:00 am @Det,
Player Note,4.60
Javonte Williams Den - RB,
Sun 1:25 pm @NYG,
No new player Notes,2.20
Robert Tonyan GB - TE,
Sun 1:25 pm @NO,
Player Note,2.70
Noah Fant Den - TE,
Q,
Sun 1:25 pm @NYG,
Player Note,4.10
Trey Sermon SF - RB,
Sun 10:00 am @Det,
Player Note,2.90
Robby Anderson Car - WR,
Sun 10:00 am vs NYJ,
Player Note,2.60
Deebo Samuel SF - WR,
Sun 10:00 am @Det,
No new player Notes,2.30
JuJu Smith-Schuster Pit - WR,
Sun 10:00 am @Buf,
No new player Notes,2.00
Logan Thomas Was - TE,
Sun 10:00 am vs LAC,
No new player Notes,3.20
Leonard Fournette TB - RB,
Thu 5:20 pm vs Dal,
No new player Notes,2.60
Ryan Tannehill Ten - QB,
Sun 10:00 am vs Ari,
No new player Notes,10.90
Michael Thomas NO - WR,
PUP-P,
Sun 1:25 pm vs GB,
Player Note,4.90
Melvin Gordon III Den - RB,
Sun 1:25 pm @NYG,
Player Note,2.50
Jerry Jeudy Den - WR,
Sun 1:25 pm @NYG,
No new player Notes,2.50
Matthew Stafford LAR - QB,
Sun 5:20 pm vs Chi,
Player Note,1.90
Courtland Sutton Den - WR,
Q,
Sun 1:25 pm @NYG,
Player Note,2.00
David Johnson Hou - RB,
Sun 10:00 am vs Jax,
Player Note,2.80
Michael Carter NYJ - RB,
Sun 10:00 am @Car,
Player Note,2.20
Zack Moss Buf - RB,
Sun 10:00 am vs Pit,
No new player Notes,1.70
DJ Chark Jr. Jax - WR,
Q,
Sun 10:00 am @Hou,
No new player Notes,1.50
Tyler Boyd Cin - WR,
Sun 10:00 am vs Min,
No new player Notes,1.50
Rob Gronkowski TB - TE,
Thu 5:20 pm vs Dal,
Player Note,1.90
AJ Dillon GB - RB,
Sun 1:25 pm @NO,
No new player Notes,2.10
Antonio Brown TB - WR,
Thu 5:20 pm vs Dal,
Name,Avg Salary
Player Note,1.80
James Conner Ari - RB,
Sun 10:00 am @Ten,
No new player Notes,1.40
Brandin Cooks Hou - WR,
Sun 10:00 am vs Jax,
New Player Note,1.60
Joe Burrow Cin - QB,
Sun 10:00 am vs Min,
No new player Notes,1.40
Mike Gesicki Mia - TE,
Sun 1:25 pm @NE,
Player Note,1.80
DeVonta Smith Phi - WR,
Sun 10:00 am @Atl,
No new player Notes,1.50
Kenyan Drake LV - RB,
Mon 5:15 pm vs Bal,
Player Note,1.50
Will Fuller V Mia - WR,
SUSP,
Sun 1:25 pm @NE,
No new player Notes,1.40
Gus Edwards Bal - RB,
Mon 5:15 pm @LV,
No new player Notes,1.40
Jarvis Landry Cle - WR,
Sun 1:25 pm @KC,
New Player Note,1.30
Curtis Samuel Was - WR,
Q,
Sun 10:00 am vs LAC,
Player Note,2.00
Corey Davis NYJ - WR,
Sun 10:00 am @Car,
No new player Notes,1.40
Irv Smith Jr. Min - TE,
Sun 10:00 am @Cin,
New Player Note,1.40
Trevor Lawrence Jax - QB,
Sun 10:00 am @Hou,
No new player Notes,1.70
Mike Williams LAC - WR,
Sun 10:00 am @Was,
Player Note,1.30
Devin Singletary Buf - RB,
Sun 10:00 am vs Pit,
Player Note,1.30
Cam Newton NE - QB,
Q,
Sun 1:25 pm vs Mia,
No new player Notes,1.40
Michael Gallup Dal - WR,
Thu 5:20 pm @TB,
Player Note,1.10
Ben Roethlisberger Pit - QB,
Sun 10:00 am @Buf,
No new player Notes,1.20
Zach Ertz Phi - TE,
Sun 10:00 am @Atl,
No new player Notes,1.20
Eric Ebron Pit - TE,
Sun 10:00 am @Buf,
No new player Notes,1.30
Jared Goff Det - QB,
Sun 10:00 am vs SF,
No new player Notes,1.20
Randall Cobb GB - WR,
Sun 1:25 pm @NO,
No new player Notes,1.30
Matt Ryan Atl - QB,
Sun 10:00 am vs Phi,
Player Note,1.40
Taysom Hill NO - QB,
Sun 1:25 pm vs GB,
No new player Notes,1.30
Kirk Cousins Min - QB,
Sun 10:00 am @Cin,
No new player Notes,1.20
Baker Mayfield Cle - QB,
Sun 1:25 pm @KC,
No new player Notes,1.50
A.J. Green Ari - WR,
Sun 10:00 am @Ten,
Player Note,1.10
Emmanuel Sanders Buf - WR,
Q,
Sun 10:00 am vs Pit,
Player Note,1.10
Mark Ingram II Hou - RB,
Sun 10:00 am vs Jax,
Player Note,1.40
Jaylen Waddle Mia - WR,
Sun 1:25 pm @NE,
No new player Notes,1.40
James White NE - RB,
Sun 1:25 pm vs Mia,
No new player Notes,1.40
Jamaal Williams Det - RB,
Sun 10:00 am vs SF,
Player Note,1.50
Cole Beasley Buf - WR,
COVID-19,
Sun 10:00 am vs Pit,
No new player Notes,1.30
Tony Pollard Dal - RB,
Thu 5:20 pm @TB,
Player Note,1.60
Marquez Callaway NO - WR,
Sun 1:25 pm vs GB,
New Player Note,1.00
Sony Michel LAR - RB,
Sun 5:20 pm vs Chi,
No new player Notes,1.60
Laviska Shenault Jr. Jax - WR,
Sun 10:00 am @Hou,
No new player Notes,1.10
Marlon Mack Ind - RB,
Sun 10:00 am vs Sea,
No new player Notes,1.00
Derek Carr LV - QB,
Mon 5:15 pm vs Bal,
No new player Notes,1.20
Henry Ruggs III LV - WR,
Mon 5:15 pm vs Bal,
No new player Notes,1.30
Nyheim Hines Ind - RB,
Sun 10:00 am vs Sea,
Player Note,1.20
Tua Tagovailoa Mia - QB,
Sun 1:25 pm @NE,
Player Note,1.80
Deshaun Watson Hou - QB,
Sun 10:00 am vs Jax,
Player Note,1.40
Zach Wilson NYJ - QB,
Sun 10:00 am @Car,
Player Note,1.30
Justin Fields Chi - QB,
Sun 5:20 pm @LAR,
Player Note,1.00
Blake Jarwin Dal - TE,
Thu 5:20 pm @TB,
No new player Notes,1.20
Marquise Brown Bal - WR,
Q,
Mon 5:15 pm @LV,
No new player Notes,1.50
Mecole Hardman KC - WR,
Sun 1:25 pm vs Cle,
No new player Notes,1.20
Hunter Henry NE - TE,
Q,
Sun 1:25 pm vs Mia,
No new player Notes,1.00
Todd Gurley II Atl - RB,
NA,
Sun 10:00 am vs Phi,
Name,Avg Salary
New Player Note,1.40
Marvin Jones Jr. Jax - WR,
Q,
Sun 10:00 am @Hou,
No new player Notes,1.10
Sammy Watkins Bal - WR,
Q,
Mon 5:15 pm @LV,
No new player Notes,1.00
Dawson Knox Buf - TE,
Sun 10:00 am vs Pit,
No new player Notes,1.50
Darnell Mooney Chi - WR,
Sun 5:20 pm @LAR,
No new player Notes,1.30
Sterling Shepard NYG - WR,
Sun 1:25 pm vs Den,
No new player Notes,1.30
T.Y. Hilton Ind - WR,
Sun 10:00 am vs Sea,
No new player Notes,1.20
Jamison Crowder NYJ - WR,
Sun 10:00 am @Car,
New Player Note,1.20
Rhamondre Stevenson NE - RB,
Sun 1:25 pm vs Mia,
Player Note,1.20
Darrel Williams KC - RB,
Q,
Sun 1:25 pm vs Cle,
Player Note,1.10
Giovani Bernard TB - RB,
Thu 5:20 pm vs Dal,
No new player Notes,1.40
Jakobi Meyers NE - WR,
Sun 1:25 pm vs Mia,
No new player Notes,1.20
Tevin Coleman NYJ - RB,
Sun 10:00 am @Car,
No new player Notes,1.40
Phillip Lindsay Hou - RB,
Sun 10:00 am vs Jax,
No new player Notes,1.20
Jared Cook LAC - TE,
Sun 10:00 am @Was,
Player Note,1.10
Jalen Reagor Phi - WR,
Sun 10:00 am @Atl,
No new player Notes,1.30
Michael Pittman Jr. Ind - WR,
Sun 10:00 am vs Sea,
Player Note,1.30
Latavius Murray NO - RB,
Sun 1:25 pm vs GB,
No new player Notes,1.20
Sam Darnold Car - QB,
Sun 10:00 am vs NYJ,
No new player Notes,1.00
Russell Gage Atl - WR,
Sun 10:00 am vs Phi,
Player Note,1.50
Elijah Moore NYJ - WR,
Sun 10:00 am @Car,
No new player Notes,1.50
Alexander Mattison Min - RB,
Q,
Sun 10:00 am @Cin,
Player Note,1.10
Rashod Bateman Bal - WR,
Q,
Mon 5:15 pm @LV,
No new player Notes,1.30
DeVante Parker Mia - WR,
Q,
Sun 1:25 pm @NE,
Player Note,1.50
Jameis Winston NO - QB,
Sun 1:25 pm vs GB,
No new player Notes,1.00
Gerald Everett Sea - TE,
Sun 10:00 am @Ind,
No new player Notes,1.10
Nelson Agholor NE - WR,
Sun 1:25 pm vs Mia,
No new player Notes,1.10
Rashaad Penny Sea - RB,
Sun 10:00 am @Ind,
No new player Notes,1.40
Tarik Cohen Chi - RB,
PUP-P,
Sun 5:20 pm @LAR,
No new player Notes,1.20
J.D. McKissic Was - RB,
Sun 10:00 am vs LAC,
Player Note,1.30
Trey Lance SF - QB,
Sun 10:00 am @Det,
Player Note,1.10
Ryan Fitzpatrick Was - QB,
Sun 10:00 am vs LAC,
Player Note,1.10
Carson Wentz Ind - QB,
Q,
Sun 10:00 am vs Sea,
No new player Notes,1.50
Chuba Hubbard Car - RB,
Sun 10:00 am vs NYJ,
Player Note,1.10
Jonnu Smith NE - TE,
Sun 1:25 pm vs Mia,
No new player Notes,1.00
Evan Engram NYG - TE,
Sun 1:25 pm vs Den,
No new player Notes,1.00
Austin Hooper Cle - TE,
Sun 1:25 pm @KC,
No new player Notes,1.00
Daniel Jones NYG - QB,
Sun 1:25 pm vs Den,
Player Note,1.10
Adam Trautman NO - TE,
Q,
Sun 1:25 pm vs GB,
No new player Notes,1.00
Hayden Hurst Atl - TE,
Sun 10:00 am vs Phi,
No new player Notes,1.00
Cole Kmet Chi - TE,
Sun 5:20 pm @LAR,
No new player Notes,1.00
Anthony Firkser Ten - TE,
Sun 10:00 am vs Ari,
No new player Notes,$-
Malcolm Brown Mia - RB,
Sun 1:25 pm @NE,
No new player Notes,$-
Carlos Hyde Jax - RB,
Sun 10:00 am @Hou,
No new player Notes,$-
Darrynton Evans Ten - RB,
Q,
Sun 10:00 am vs Ari,
No new player Notes,$-
Damien Williams Chi - RB,
Sun 5:20 pm @LAR,
No new player Notes,$-
Ty Johnson NYJ - RB,
Sun 10:00 am @Car,
No new player Notes,$-
Bryan Edwards LV - WR,
Mon 5:15 pm vs Bal,
No new player Notes,$-
Xavier Jones LAR - RB,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Justin Jackson LAC - RB,
Q,
Sun 10:00 am @Was,
No new player Notes,$-
John Brown LV - WR,
Mon 5:15 pm vs Bal,
Name,Avg Salary
No new player Notes,$-
Rondale Moore Ari - WR,
Sun 10:00 am @Ten,
No new player Notes,$-
Tony Jones Jr. NO - RB,
Sun 1:25 pm vs GB,
No new player Notes,$-
Boston Scott Phi - RB,
Sun 10:00 am @Atl,
Player Note,$-
Tre'Quan Smith NO - WR,
Q,
Sun 1:25 pm vs GB,
No new player Notes,$-
Christian Kirk Ari - WR,
Sun 10:00 am @Ten,
Player Note,$-
Salvon Ahmed Mia - RB,
Sun 1:25 pm @NE,
No new player Notes,$-
Marquez Valdes-Scantling GB - WR,
Sun 1:25 pm @NO,
No new player Notes,$-
Devontae Booker NYG - RB,
Sun 1:25 pm vs Den,
No new player Notes,$-
Benny Snell Jr. Pit - RB,
Sun 10:00 am @Buf,
New Player Note,$-
Tyrell Williams Det - WR,
Q,
Sun 10:00 am vs SF,
No new player Notes,$-
Terrace Marshall Jr. Car - WR,
Sun 10:00 am vs NYJ,
No new player Notes,$-
Darius Slayton NYG - WR,
Sun 1:25 pm vs Den,
No new player Notes,$-
Ke'Shawn Vaughn TB - RB,
Thu 5:20 pm vs Dal,
Player Note,$-
Nico Collins Hou - WR,
Q,
Sun 10:00 am vs Jax,
No new player Notes,$-
Qadree Ollison Atl - RB,
Sun 10:00 am vs Phi,
No new player Notes,$-
Amon-Ra St. Brown Det - WR,
Sun 10:00 am vs SF,
No new player Notes,$-
Samaje Perine Cin - RB,
Sun 10:00 am vs Min,
No new player Notes,$-
Trent Sherfield SF - WR,
Sun 10:00 am @Det,
No new player Notes,$-
KJ Hamler Den - WR,
Q,
Sun 1:25 pm @NYG,
No new player Notes,$-
Parris Campbell Ind - WR,
Sun 10:00 am vs Sea,
No new player Notes,$-
DeSean Jackson LAR - WR,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Joshua Palmer LAC - WR,
Sun 10:00 am @Was,
Player Note,$-
Joshua Kelley LAC - RB,
Sun 10:00 am @Was,
No new player Notes,$-
Gabriel Davis Buf - WR,
COVID-19,
Sun 10:00 am vs Pit,
No new player Notes,$-
Tim Patrick Den - WR,
Sun 1:25 pm @NYG,
Player Note,$-
Breshad Perriman Det - WR,
Sun 10:00 am vs SF,
No new player Notes,$-
Allen Lazard GB - WR,
Sun 1:25 pm @NO,
Player Note,$-
Donovan Peoples-Jones Cle - WR,
Sun 1:25 pm @KC,
No new player Notes,$-
Dyami Brown Was - WR,
Sun 10:00 am vs LAC,
Player Note,$-
Juwan Johnson NO - WR,
Sun 1:25 pm vs GB,
Player Note,$-
D'Wayne Eskridge Sea - WR,
Sun 10:00 am @Ind,
No new player Notes,$-
Tyrod Taylor Hou - QB,
Sun 10:00 am vs Jax,
No new player Notes,$-
Anthony McFarland Jr. Pit - RB,
Sun 10:00 am @Buf,
No new player Notes,$-
Kenneth Gainwell Phi - RB,
Sun 10:00 am @Atl,
No new player Notes,$-
Rashard Higgins Cle - WR,
Sun 1:25 pm @KC,
New Player Note,$-
Teddy Bridgewater Den - QB,
Sun 1:25 pm @NYG,
No new player Notes,$-
Keelan Cole Sr. NYJ - WR,
Sun 10:00 am @Car,
No new player Notes,$-
Josh Reynolds Ten - WR,
Sun 10:00 am vs Ari,
No new player Notes,$-
Dan Arnold Car - TE,
Sun 10:00 am vs NYJ,
No new player Notes,$-
Jeff Wilson Jr. SF - RB,
PUP-P,
Sun 10:00 am @Det,
Player Note,$-
Anthony Miller Hou - WR,
Q,
Sun 10:00 am vs Jax,
No new player Notes,$-
Van Jefferson Jr. LAR - WR,
Q,
Sun 5:20 pm vs Chi,
No new player Notes,$-
Donald Parham Jr. LAC - TE,
Q,
Sun 10:00 am @Was,
No new player Notes,$-
Wayne Gallman II SF - RB,
Sun 10:00 am @Det,
No new player Notes,$-
Matt Breida Buf - RB,
Sun 10:00 am vs Pit,
No new player Notes,$-
Mo Alie-Cox Ind - TE,
Sun 10:00 am vs Sea,
No new player Notes,$-
Le'Veon Bell KC - RB,
NA,
Sun 1:25 pm vs Cle,
No new player Notes,$-
Denzel Mims NYJ - WR,
Q,
Sun 10:00 am @Car,
No new player Notes,$-
James Washington Pit - WR,
Sun 10:00 am @Buf,
Player Note,$-
Drew Lock Den - QB,
Sun 1:25 pm @NYG,
